merchant_id,name,country,country_code,region,subregion,registration_number,company_status,company_incorporation_date,monthly_volume,dispute_count,transaction_count,last_30d_volume,last_30d_txn_count,avg_ticket_size,internal_risk_flag,pdf_summary,last_review_date,claritypay_partner
M030,GardenGrow Ltd,United Kingdom,GB,Europe,Northern Europe,SC304269,,,38000.0,1,1100,,,,,,,False
M031,OfficePro Supplies,Czech Republic,CZ,Europe,Central Europe,,,,58000.0,2,1690,,,,,,,False
M032,ChildCare Plus Ltd,United Kingdom,GB,Europe,Northern Europe,NI012347,,,49000.0,0,1520,,,,,,,False
M033,FitLife Studios,Denmark,DK,Europe,Northern Europe,,,,36000.0,1,1050,,,,,,,False
M034,PrintPerfect Ltd,United Kingdom,GB,Europe,Northern Europe,08901236,,,71000.0,2,2180,,,,,,,False
M035,RiverView Hotels,Norway,NO,Europe,Northern Europe,,,,165000.0,3,4600,,,,,,,False
M036,SecureLock Security Ltd,United Kingdom,GB,Europe,Northern Europe,12674481,,,44000.0,1,1320,,,,,,,False
M037,CoffeeHouse Chain,Finland,FI,Europe,Northern Europe,,,,29000.0,0,870,,,,,,,False
M038,GreenEnergy Solutions Ltd,United Kingdom,GB,Europe,Northern Europe,OC303458,,,112000.0,4,3300,,,,,,,False
M039,Fashion Forward,Hungary,HU,Europe,Central Europe,,,,84000.0,2,2550,,,,,,,False
M040,LegalEase Services Ltd,United Kingdom,GB,Europe,Northern Europe,09446242,,,67000.0,0,2100,,,,,,,False
M041,SportZone Retail,Romania,RO,Europe,Southeast Europe,,,,51000.0,3,1480,,,,,,,False
M042,CloudTech Software Ltd,United Kingdom,GB,Europe,Northern Europe,SC304270,,,189000.0,2,5200,,,,,,,False
M043,FreshBite Catering,Greece,GR,Europe,Southern Europe,,,,33000.0,1,990,,,,,,,False
M044,PrintAndShip Ltd,United Kingdom,GB,Europe,Northern Europe,NI012348,,,76000.0,1,2340,,,,,,,False
M045,DesignStudio Creative,Bulgaria,BG,Europe,Southeast Europe,,,,42000.0,0,1280,,,,,,,False
M046,WellnessFirst Ltd,United Kingdom,GB,Europe,Northern Europe,08901237,,,59000.0,3,1780,,,,,,,False
M047,ElectroWorld Gadgets,Croatia,HR,Europe,Southeast Europe,,,,97000.0,2,2900,,,,,,,False
M048,TrustBuild Finance Ltd,United Kingdom,GB,Europe,Northern Europe,12674482,,,128000.0,0,3850,,,,,,,False
M049,UrbanGardens Landscaping,Slovakia,SK,Europe,Central Europe,,,,24000.0,0,720,,,,,,,False
M050,DataSecure Ltd,United Kingdom,GB,Europe,Northern Europe,09446243,,,145000.0,2,4200,,,,,,,False
